1,joel,jimenez,8493537714,C/ RAMON SANTANA # 4 BUENOS AIRES,25,M
2,Juana,Baez,8494017714,C/ 5 # 3 LIBERTADOR,36,F
3,Ampara,JIMENEZ,8295352525,C/ 1RA #10 RESTAURADORES,20,F
4,ANGELITO,JOSE,8095266464,C/ SANTIAGO # 6 EL MILLON ,30,M
5,BEATRIZ,ESPINAL,8493537714,C/ RAMON SANTANA # 4 BUENOS AIRES,40,F
6,ELI,BAEZ,8494017714,C/ 5 # 3 LIBERTADOR,55,F
7,ELINA,PLACENIA,8295352525,C/ 1RA #10 RESTAURADORES,18,F
8,MAICOL,PLACIDO,8095266464,C/ SANTIAGO # 6 EL MILLON ,15,M
9,ORLANDO,BAEZ,8493537714,C/ RAMON SANTANA # 4 BUENOS AIRES,14,M
10,ANGELITO,JIMENEZ,8494017714,C/ 5 # 3 LIBERTADOR,25,M
11,JUAN,SOTO,8295352525,C/ 1RA #10 RESTAURADORES,36,M
12,PEDRO,LEBRON,8095266464,C/ SANTIAGO # 6 EL MILLON ,20,M
13,CARLOS,JIMENEZ,8493537714,C/ RAMON SANTANA # 4 BUENOS AIRES,30,M
14,JOSE,JOSE,8494017714,C/ 5 # 3 LIBERTADOR,40,M
15,DANIEL,ESPINAL,8295352525,C/ 1RA #10 RESTAURADORES,55,M
16,FRANCI,BAEZ,8095266464,C/ SANTIAGO # 6 EL MILLON ,18,F
17,DANIELA,PLACENIA,8493537714,C/ RAMON SANTANA # 4 BUENOS AIRES,15,F
18,GUILLERMO,PLACIDO,8494017714,C/ 5 # 3 LIBERTADOR,25,M
19,MICHAEL,BAEZ,8295352525,C/ 1RA #10 RESTAURADORES,36,M
20,BRYAN,JIMENEZ,8095266464,C/ SANTIAGO # 6 EL MILLON ,20,M
21,MARITZA,SOTO,8493537714,C/ RAMON SANTANA # 4 BUENOS AIRES,30,F
22,KAIL,JIMENEZ,8494017714,C/ 5 # 3 LIBERTADOR,40,F
23,ABEL,JOSE,8295352525,C/ 1RA #10 RESTAURADORES,55,M
24,JOSEFA,ESPINAL,8095266464,C/ SANTIAGO # 6 EL MILLON ,18,F
25,GABRIEL,BAEZ,8493537714,C/ RAMON SANTANA # 4 BUENOS AIRES,15,F
26,GABRIELA,PLACENIA,8494017714,C/ 5 # 3 LIBERTADOR,25,F
27,MANUEL,PLACIDO,8295352525,C/ 1RA #10 RESTAURADORES,36,M
28,PITA,BAEZ,8095266464,C/ SANTIAGO # 6 EL MILLON ,20,M
29,LIL,JIMENEZ,8493537714,C/ RAMON SANTANA # 4 BUENOS AIRES,30,M
30,KAIN,SOTO,8494017714,C/ 5 # 3 LIBERTADOR,40,M
